P1 - ch4_mf (kg s^-1),P2 - ch4_t (K),P3 - o2_mf (kg s^-1),P4 - o2_t (K),P5 - unif-ch4-op,P6 - x-ch4-op,P7 - t-avg-out-op (K)
0.000180118,398.7032801,0.001096354,495.0523796,0.54869181,0.14989482,476.45383
0.000180142,399.3108718,0.000996146,549.3713318,0.57011372,0.157883,518.31409
0.000180055,433.446599,0.001093557,491.5461892,0.57188535,0.15326558,479.86362
0.000180389,392.0186372,0.000933764,532.6165096,0.61042058,0.16839918,501.6647
0.000180073,385.389292,0.001030575,483.3971118,0.57963669,0.15762949,463.61096
0.000180522,386.4687529,0.001031952,525.8167467,0.55707675,0.15422934,498.03989
0.00018018,411.0520418,0.00103997,460.5810109,0.60604584,0.16113442,450.26852
0.000180184,363.5145768,0.001056222,526.0245157,0.53284454,0.14924271,495.12247
0.000180108,412.285529,0.000903356,540.6746892,0.6378215,0.17539987,510.80969
0.000180405,381.2813617,0.000950876,463.8166458,0.6352576,0.17179693,445.70746
0.000180073,410.2396641,0.001001331,480.8012597,0.61346096,0.16456205,465.70435
0.000180208,423.0354211,0.001003936,517.3644991,0.59797865,0.16193108,497.22037
0.00018013,416.8260997,0.00090894,482.8820537,0.67188817,0.18210487,467.11572
0.000180067,382.6702476,0.001072012,507.8297627,0.54419684,0.15029627,483.72003
0.000180016,439.6439052,0.000949161,509.3683878,0.64502096,0.17346755,493.24869
0.000180421,380.4355841,0.00101782,547.4444433,0.54993719,0.15370874,514.20105
0.000180268,439.1716286,0.001008796,473.7346425,0.63205403,0.16735327,466.11011
0.000180432,439.5349252,0.00109655,526.5648225,0.55481225,0.1508531,509.18896
0.000180545,376.471325,0.001068807,478.1061947,0.55907023,0.15282547,458.38428
0.000180487,366.1854045,0.00095768,473.6483411,0.61384273,0.16765316,450.784
0.00018033,423.7040842,0.001065155,453.1871549,0.60595465,0.15973999,447.07663
0.000180235,437.4326531,0.001046988,545.949487,0.56754065,0.1549339,523.56793
0.00018026,362.2394796,0.001018103,533.0107506,0.54619712,0.15308446,499.58493
0.000180005,370.2499558,0.000960467,549.9040516,0.5711394,0.15994531,512.70856
0.000180525,438.4329467,0.000970601,527.1597379,0.62195021,0.16803032,507.25739
0.000180128,415.5808699,0.001009385,499.9140413,0.60049176,0.16200708,482.03561
0.00018055,436.6893317,0.001072942,469.3623467,0.5995968,0.15846553,462.57706
0.000180126,396.2920942,0.000987651,481.4076882,0.61174411,0.16516489,463.25476
0.00018042,409.9061475,0.001082941,465.9612066,0.57974303,0.15502878,454.75449
0.000180132,397.2965249,0.000989914,531.5902813,0.58150154,0.1600724,503.52277
0.000180295,409.4157574,0.000962647,473.2028795,0.64095414,0.17191656,458.9501
0.00018018,424.4250594,0.000913574,533.5179754,0.64365524,0.17580514,507.97845
0.000180536,398.6614059,0.000947748,497.6921049,0.62760103,0.17062631,475.71619
0.000180272,378.7551741,0.000974324,452.165063,0.62711459,0.16871192,436.43439
0.000180105,415.7219402,0.001055241,475.3383231,0.59098059,0.15798733,463.10846
0.000180052,422.0779891,0.000971015,472.5008713,0.6437065,0.17180087,461.16971
0.000108707,588.6880096,0.001906432,201.2795866,0.43874678,0.087456033,246.53754
0.00011272,209.3766405,0.001834313,207.1998585,0.43220329,0.080984935,207.3974
0.000107606,549.3045926,0.000133426,203.2874903,0.9999969,0.59287363,443.45325
0.000107127,211.9176681,0.000322593,226.6476805,0.98555213,0.37062049,220.58224
0.000104978,583.0388031,0.001883342,698.3256413,0.3508569,0.072856247,686.14948
0.000105169,578.8825682,0.000115994,669.2707445,0.99998015,0.62077504,602.54169
0.000121432,218.9628223,0.001911997,696.2891956,0.45851746,0.07620459,649.31238
0.000119144,216.9087739,0.000127859,680.4652493,0.99979222,0.62711483,369.14304
0.000100588,393.5164003,0.001965362,425.2618981,0.36547387,0.069765694,422.46671
0.000179267,586.6767647,0.001960827,468.620903,0.38924366,0.1098673,486.16135
0.000100322,380.9496372,0.000128142,429.2971564,0.99998057,0.58567387,397.47662
0.000111321,392.2728046,0.000960929,219.6683761,0.66517937,0.13604507,247.78912
0.000106189,589.2897046,0.001026757,363.1318085,0.5573774,0.12029814,401.64053
0.000109705,209.9777577,0.001257112,450.7734405,0.46769226,0.095754758,423.40457
0.000141553,593.1427447,0.001006432,699.8432911,0.50124776,0.13325453,678.88263
0.000100711,396.5543591,0.001013388,696.856659,0.43986359,0.10137767,654.59277
0.000103301,397.2253116,0.001886666,678.5164708,0.40305343,0.068980247,651.51685
0.000113595,217.0215479,0.001002728,695.4069958,0.49649385,0.11053856,627.44641
0.00014286,387.6270928,0.00010027,638.3360332,0.9999941,0.72008091,442.09976
0.000112998,586.7637272,0.000157457,445.5916688,0.99994612,0.56438702,542.4787
0.000119479,207.2511469,0.000426229,454.607859,0.78255111,0.24951318,380.68359
0.000110309,403.6766807,0.001984106,210.1059815,0.39269489,0.081404082,228.87048
0.000106387,527.9115881,0.001566565,507.4677954,0.35686016,0.085435659,509.83655
0.000158495,306.1985971,0.001432037,274.2910047,0.48836195,0.12141702,278.70071
0.000139693,478.1237466,0.001545602,324.977773,0.44929183,0.10940127,346.4758
0.000163729,290.0584693,0.000539402,313.5227244,0.92437327,0.32795182,304.93268
0.000107895,380.2784341,0.000209929,222.5745058,0.99977696,0.48127139,308.37332
0.000102104,457.2678964,0.000854064,495.3471561,0.50849938,0.12174164,488.92987
0.000151573,510.6572306,0.000664401,276.4815962,0.91558236,0.27133149,358.23703
0.000148589,298.0348752,0.001836303,541.1575953,0.39501262,0.09199591,513.89008
0.000116698,212.5350559,0.001961039,398.0250329,0.42976144,0.074907675,381.81555
0.000116291,212.7972709,0.001080987,218.8474405,0.54018831,0.11842112,218.0336
0.000175081,486.458144,0.000533977,694.3964265,0.89488828,0.32953039,601.40204
0.000165873,595.4762268,0.001342211,550.8039151,0.47937205,0.12849112,558.89203
0.000148576,467.7454458,0.001461915,697.9420149,0.38598251,0.10495298,665.31299
0.000101497,358.0198525,0.001280969,422.6814109,0.41397855,0.09199141,415.25275
0.000103741,525.233205,0.00121306,200.6907393,0.60506558,0.11182343,247.83669
0.000137841,582.1032562,0.000705011,538.0989734,0.75882292,0.20160659,551.07477
0.000166382,282.4063977,0.000271156,548.7539318,0.99645966,0.52432644,392.98141
0.000106126,328.6874545,0.000558148,541.5249187,0.64758939,0.17045122,492.76971
0.000148388,325.0893969,0.001517654,687.2201791,0.41163927,0.10079505,640.388
0.00016787,599.723924,0.001440071,345.6102832,0.57819843,0.13549864,393.23666
0.000179967,520.9141548,0.000232163,400.0007417,0.99983001,0.58322567,483.37576
0.000157924,479.4667684,0.001866223,570.659413,0.35505497,0.097777747,558.9812
0.000128106,403.9718943,0.000646357,360.1573543,0.79820645,0.21324135,371.98575
0.000146882,516.654803,0.000157042,567.9603474,0.99996114,0.62807405,530.41583
0.000125241,567.2478099,0.001937519,375.4012681,0.35380486,0.089110106,398.22784
0.000156118,315.0551877,0.00195852,375.0175726,0.37427166,0.095307417,368.36392
0.000102368,470.1951508,0.000511772,674.6623571,0.70271403,0.1862137,617.69012
0.000170457,247.6891984,0.000886816,633.8306585,0.50653869,0.14864257,561.80499
0.000125553,392.3056732,0.001486987,560.2214569,0.38866273,0.094493113,539.74219
0.000158821,207.4192141,0.001161689,349.2822888,0.4901315,0.12945588,328.20996
0.000156917,204.8869952,0.001454553,625.1542863,0.45316854,0.10762828,570.33691
0.000178523,234.5998048,0.000727908,469.4361692,0.65493196,0.19490889,414.49814
0.000102297,292.9141994,0.001135395,560.4382706,0.45116389,0.096481629,527.66266
0.000104808,300.0571018,0.001734063,306.5900929,0.39567795,0.078999266,306.00018
0.000163509,598.7419783,0.000369663,661.1988383,0.99062037,0.44105235,624.65253
0.000149776,334.5411054,0.000604479,692.6651992,0.66514355,0.19590572,596.85547
0.000159742,433.5917444,0.001276683,200.4206729,0.69921058,0.15011129,242.77072
0.000165517,362.9604776,0.000704478,200.2257423,0.92763138,0.27994671,252.36772
0.000100919,217.5728838,0.001584107,580.1225784,0.46220472,0.07620766,545.53259
0.0001178,597.9287482,0.000451321,310.8334298,0.96535212,0.31142738,431.53683
0.00010419,291.0938442,0.000823641,386.05828,0.52983773,0.12619972,371.48642
0.000141485,422.4857247,0.000405499,493.6009765,0.96234649,0.37349153,460.35513
0.00013687,467.9874089,0.000140904,322.4716495,0.99999344,0.63688785,427.40442
0.000148194,303.2414118,0.001966775,224.3821203,0.41625217,0.097097114,233.04187
0.00014714,288.0861392,0.001456322,431.6828147,0.41399026,0.10674911,413.61725
0.000104983,470.7403779,0.00111518,353.0159008,0.48142967,0.10873848,369.86118
0.000122527,308.1858831,0.000164578,329.9862451,0.99995506,0.5734123,316.45868
0.000164886,246.5611951,0.000156203,402.8531751,0.99995518,0.65586686,294.3934
0.000152406,546.456971,0.001082489,428.2594682,0.60767967,0.14760685,452.42651
0.000161549,203.0362782,0.001949576,284.9632491,0.4101561,0.096995361,276.01819
0.000167741,485.6292721,0.001951999,243.0109057,0.48128924,0.11214431,277.33533
0.000161849,256.4461845,0.000101452,241.0992969,0.99999928,0.74231148,252.94374
0.000152555,589.4715862,0.001100367,242.2395755,0.76804769,0.17063864,322.34149
0.000113875,210.5099171,0.000656977,582.568474,0.53851491,0.14451645,513.82007
0.000105399,548.6472558,0.001209364,610.7238501,0.39415154,0.097436495,602.13934
0.000168502,598.2885343,0.000642286,355.9283797,0.93136489,0.30263051,455.57053
0.000137622,476.0719514,0.000889965,617.9127509,0.54130125,0.14235914,589.44086
0.000125069,511.9372354,0.000535536,395.9436752,0.89467609,0.26806164,437.50534
0.000106799,257.8714172,0.000129206,554.5898998,0.9999072,0.59874505,362.92374
0.00015592,550.3549913,0.001784741,677.8674951,0.35373577,0.098675855,660.64777
0.000168982,370.1841665,0.001083435,697.2457142,0.46184924,0.13269448,640.0351
0.000136687,423.3237099,0.001999125,326.3209949,0.3682839,0.090594508,337.12384
0.000108764,389.2430276,0.001455012,284.4816421,0.42205006,0.094067469,296.40997
0.000146116,450.9011922,0.001634601,458.8465615,0.38596389,0.10282625,457.79837
0.000103018,435.0366097,0.000161169,570.7769809,0.99978793,0.53567827,484.72687
0.000101607,494.4425066,0.001977101,625.7496627,0.37052265,0.068020597,613.1344
0.000102025,306.4068084,0.000583326,269.0832291,0.78579366,0.1930266,277.38544
0.000102103,321.6491323,0.000383341,679.0003611,0.77287871,0.23866895,562.06573
0.000158236,207.6867766,0.000678113,236.8990962,0.81726807,0.23970041,229.11374
0.000100336,313.3512378,0.001734118,489.1488134,0.4207646,0.072884627,473.05121
0.000100014,506.2732153,0.001814858,279.006689,0.36703223,0.08024364,302.40762
0.000157217,398.8239908,0.001145693,335.2478577,0.58543116,0.14288415,346.53183
0.000101053,598.3336446,0.000874683,236.1681495,0.73955923,0.14541011,308.65536
0.00014369,486.1243799,0.000131049,698.1018452,0.99994451,0.66437161,537.28284
0.000156906,444.9408303,0.000387892,204.7436609,0.99663341,0.42119664,324.73059
0.000100827,509.0254152,0.000552926,251.5287956,0.89306861,0.22632411,327.08469
0.000134687,573.4587822,0.001869707,558.1083345,0.33916554,0.090392932,559.99969
0.000100225,302.1138322,0.001660666,654.6850395,0.43334556,0.073138602,620.57037
0.000165193,587.0068329,0.001571507,216.0978002,0.65013945,0.13497332,283.18658
0.000105339,579.3754335,0.000660452,685.2540315,0.61128116,0.15128528,660.30243
0.00013964,300.282854,0.000519129,437.8977242,0.83327663,0.26631987,393.77939
0.000151839,205.8174583,0.001431502,215.6739459,0.49289164,0.11705002,214.37454
0.000176561,598.6376403,0.000610702,229.3807823,0.96918726,0.33465892,391.84415
0.000100194,283.724869,0.001262227,320.4016872,0.44214278,0.093204446,316.44931
0.000127717,210.7845194,0.001533478,328.8492072,0.44250879,0.095410541,315.96301
0.000167171,207.041747,0.001800037,513.0244343,0.42625937,0.099840648,477.21918
0.000145383,571.2617244,0.001588409,445.4740846,0.41164261,0.10848324,464.05484
0.000113413,476.2326401,0.000118224,452.429223,0.99999064,0.63398123,469.65549
0.000150499,254.7063632,0.00106144,529.0431786,0.46840674,0.12713911,486.62766
0.000111709,572.3993864,0.00148614,343.1091566,0.4180654,0.097523339,373.48657
0.000118595,219.620162,0.001975116,522.4135168,0.43743458,0.074200049,495.03156
0.000152065,201.9054604,0.0004416,636.4150166,0.74517965,0.25551325,496.36526
0.000171444,573.6982388,0.001987328,307.9688131,0.45403555,0.11228062,347.82471
0.000153721,559.6435453,0.000139566,276.48814,0.9999966,0.66541833,492.41043
0.000110818,507.0628961,0.000464229,547.9248727,0.85689735,0.25766909,533.13318
0.000101132,457.3024416,0.001411404,671.9094944,0.39902598,0.083663002,646.84943
0.000122168,379.2479761,0.00088192,594.4639431,0.48992431,0.12806927,557.32745
0.000134148,371.766789,0.001592821,386.1911251,0.39587697,0.098734856,384.4527
0.00016423,320.6397049,0.001974682,691.02859,0.39754474,0.092538089,647.29584
0.00015747,405.9268696,0.001681806,257.2766204,0.47924694,0.11383198,277.6922
0.00010533,461.7637814,0.001986634,510.7943864,0.35392609,0.071535431,506.14124
0.000136924,486.381354,0.001134362,515.7577201,0.47369832,0.12313081,510.82944
0.000167021,458.0888976,0.000579417,379.7800155,0.92663556,0.31889412,411.36002
0.000133128,217.4790192,0.000519093,338.2381096,0.81155431,0.24980077,303.75433
0.000102105,302.1779204,0.001219286,687.2222167,0.45103455,0.090912387,640.91107
0.000157158,388.749867,0.001771342,627.5348744,0.37662268,0.097211771,597.74109
0.000165098,374.9767022,0.000376669,352.3025964,0.9938522,0.43997484,363.93509
0.000160528,498.249539,0.000601463,550.423418,0.8608194,0.27823201,530.57336
0.000101474,450.243079,0.00143714,447.6576164,0.37915355,0.086833797,447.95166
0.000143207,306.1292946,0.001028671,347.8832833,0.54429704,0.13758524,341.09464
0.00010277,586.8038,0.000946426,489.822544,0.50507587,0.11786329,506.4476
0.000175681,377.5067187,0.001536142,471.2451183,0.41684684,0.1171767,457.63992
0.000102158,530.8963545,0.000155023,320.6313975,0.99995911,0.54332083,457.29529
0.000137948,351.7094347,0.000100665,488.3185899,0.99999583,0.71218622,383.8837
0.000119086,319.3547934,0.001467721,211.8192452,0.47433227,0.10123518,224.27351
0.000166629,411.2276865,0.000581191,613.2177162,0.82619178,0.27285123,539.67175
0.00013224,293.9657964,0.000840351,214.2699081,0.74432158,0.17456242,230.0015
0.000165871,319.7419035,0.000196567,698.612944,0.99945533,0.60353065,443.19229
0.000135785,490.8308827,0.001131031,268.9335031,0.64643455,0.13989636,309.08347
0.000178395,584.1909697,0.001337709,660.9959646,0.46098271,0.12987036,646.92737
0.000175087,216.2937874,0.001521323,403.6144063,0.42816985,0.11431114,379.13629
0.000105716,493.530517,0.001803855,414.7866906,0.34626758,0.079478301,422.9516
0.000146633,327.6453041,0.001157828,616.0893515,0.43665105,0.11800148,572.67749
0.000143344,372.2328684,0.001972696,488.2744813,0.36347356,0.088246129,475.56653
0.000133573,366.9558542,0.001033099,466.7160511,0.48740971,0.12644549,450.60123
0.000128856,532.1757737,0.001634441,201.9661998,0.5396772,0.10731814,247.94533
0.000116436,446.6021593,0.001425944,200.4801985,0.53714752,0.10637113,232.72243
0.00010302,228.3252159,0.000115699,340.2182495,0.99998897,0.61652553,266.96252
0.000179094,309.7986982,0.000361707,200.9623558,0.99873483,0.47167987,257.32333
0.000174539,592.2563791,0.000446766,508.2243745,0.9742648,0.40415907,553.27075
0.000155617,366.2416417,0.000107208,245.7791283,0.99999952,0.72381938,338.64258
0.000150985,588.2390957,0.000179974,386.7824577,0.99997681,0.60235459,531.5329
0.000135659,258.0365287,0.001465038,542.5794336,0.42834631,0.098779775,508.5177
0.000115615,207.8582398,0.001071919,333.8074346,0.49001938,0.11223458,317.43021
0.000174018,439.6170826,0.000782543,255.9482314,0.89370978,0.26083854,314.48788
0.000125197,295.871109,0.000827475,639.4050642,0.49308437,0.13143559,580.22351
0.000154706,334.7142052,0.000587508,531.0003185,0.77638191,0.23957652,470.84296
0.000100705,285.3656925,0.000370568,408.5428559,0.90188652,0.29632026,365.74359
0.000130874,293.069691,0.000369728,209.3457745,0.99193174,0.38772625,245.42506
0.000156665,555.5149597,0.001034367,607.6797119,0.54645801,0.14396021,596.948
0.000177398,512.9357227,0.001036474,203.3036873,0.85463178,0.21203643,286.39221
0.000143382,466.9131736,0.00119397,400.9388827,0.51499999,0.12775569,412.00284
0.000142052,473.6331496,0.001999104,665.5855408,0.3564643,0.08574073,643.44861
0.000128269,572.7612321,0.001279881,506.5055381,0.43300992,0.11155339,516.83838
0.000152144,569.5576442,0.001989557,210.8772615,0.50860667,0.10759243,261.93564
0.000152962,438.3626217,0.000100474,415.4818375,0.99999845,0.73325801,433.73993
0.000124133,401.4290533,0.000563282,254.5054266,0.91113776,0.2627472,300.71875
0.000120434,546.4549732,0.001542169,690.2797328,0.36397365,0.090397872,672.03815
0.000110463,526.3295336,0.001249722,426.7169332,0.42551652,0.10330074,440.70587
0.000168775,427.8122401,0.001431226,606.8832835,0.41064081,0.1162534,579.74084
0.000178992,377.1118124,0.000317906,538.1779116,0.99629748,0.50290734,443.22287
0.00010543,344.0004318,0.000189436,582.9488769,0.99901426,0.5008232,444.1189
0.000116578,589.9127372,0.00056172,446.0544077,0.85497987,0.2368103,494.70764
0.000150678,505.0742031,0.001866603,406.0717996,0.37529588,0.10041437,418.98068
0.000100629,381.4604709,0.000932681,357.038441,0.51502299,0.11642764,360.63727
0.000158302,245.2684459,0.001193616,694.7173839,0.45482713,0.11888324,627.76959
